epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1217.05,0.41085,0.52991,0.29582,0.99367,1,0.99702,0.995,0.95115,1,0.99702,0.995,0.96182,0.29924,0.61717,0.25566,0.92421,0.004192,0.004192,0.004192
90,1229.13,0.41154,0.51691,0.29292,0.99724,0.9989,1,0.995,0.949,0.9989,1,0.995,0.9462,0.3231,0.72908,0.23732,0.93297,0.004126,0.004126,0.004126
91,1241.12,0.39902,0.5039,0.28912,0.98971,0.9973,1,0.995,0.93697,0.9973,1,0.995,0.94095,0.34572,0.66492,0.293,0.91772,0.00406,0.00406,0.00406
92,1253.17,0.40646,0.53409,0.29441,0.99703,0.98998,0.9918,0.99484,0.95566,0.98998,0.9918,0.99484,0.94989,0.30345,0.69035,0.27076,0.90217,0.003994,0.003994,0.003994
93,1265.08,0.40464,0.52656,0.28828,0.99218,0.99723,1,0.995,0.97148,0.99723,1,0.995,0.97096,0.27,0.58039,0.21823,0.87857,0.003928,0.003928,0.003928
94,1277.01,0.39206,0.50849,0.28462,0.97985,0.99789,1,0.995,0.96816,0.99789,1,0.995,0.96557,0.27777,0.60513,0.22372,0.88792,0.003862,0.003862,0.003862
95,1289.39,0.39431,0.52093,0.28181,0.98959,0.99681,1,0.995,0.97635,0.99681,1,0.995,0.97218,0.24273,0.62913,0.21088,0.86625,0.003796,0.003796,0.003796
96,1301.78,0.38695,0.48714,0.28112,0.97756,0.99873,1,0.995,0.9772,0.99873,1,0.995,0.98048,0.24348,0.5552,0.19514,0.86071,0.00373,0.00373,0.00373
97,1314.59,0.39584,0.5367,0.2863,0.98326,0.99794,1,0.995,0.97181,0.99794,1,0.995,0.96783,0.26852,0.57829,0.22472,0.87956,0.003664,0.003664,0.003664
98,1326.85,0.38343,0.51105,0.27631,0.97896,0.99699,1,0.995,0.97548,0.99699,1,0.995,0.96907,0.26647,0.5725,0.21656,0.88038,0.003598,0.003598,0.003598
99,1339.87,0.39584,0.51251,0.27891,0.98983,0.99907,1,0.995,0.96687,0.99907,1,0.995,0.97054,0.26145,0.58751,0.21383,0.87479,0.003532,0.003532,0.003532
100,1351.86,0.37911,0.49544,0.27164,0.9657,0.99627,1,0.995,0.96775,0.99627,1,0.995,0.96342,0.27814,0.67401,0.23644,0.90144,0.003466,0.003466,0.003466
101,1363.69,0.38518,0.51681,0.27959,0.98664,0.99845,1,0.995,0.97738,0.99845,1,0.995,0.97195,0.25181,0.58401,0.20512,0.86524,0.0034,0.0034,0.0034
102,1375.56,0.38388,0.50955,0.27916,0.97051,0.99735,1,0.995,0.96886,0.99735,1,0.995,0.95645,0.26547,0.56426,0.22959,0.87722,0.003334,0.003334,0.003334
103,1387.7,0.37425,0.50795,0.27571,0.97589,0.99808,1,0.995,0.97341,0.99808,1,0.995,0.97105,0.25393,0.58884,0.2168,0.86426,0.003268,0.003268,0.003268
104,1399.75,0.37045,0.49346,0.26306,0.96962,0.99819,1,0.995,0.97162,0.99819,1,0.995,0.97013,0.24974,0.55776,0.21156,0.86236,0.003202,0.003202,0.003202
